Link: https://www.youtube.com/watch?v=DqqggJWZXsg,,,,,
Facebook Interactions,Facebook Reactions,Facebook Shares,Facebook Comments,,
335065,140790,32945,161330,,
,,,,,
Source,Followers,Date,Interactions,Post Type,Link
Reopen America,3439,Wed May 06 2020 14:57:57 GMT+0000,477,Facebook,https://www.facebook.com/groups/1316429998745464/permalink/1339413929780404
ReOpen Ohio,2911,Wed May 06 2020 18:41:52 GMT+0000,404,Facebook,https://www.facebook.com/groups/1981021755376021/permalink/2006743216137208
The Official Rush Limbaugh Facebook Group,48627,Wed May 06 2020 13:22:03 GMT+0000,375,Facebook,https://www.facebook.com/groups/2210071571/permalink/10156829458931572
Stop ID2020,5616,Wed May 06 2020 22:33:42 GMT+0000,286,Facebook,https://www.facebook.com/groups/633730690805298/permalink/653548732156827
The 17th letter of the alphabet,3167,Wed May 06 2020 16:17:08 GMT+0000,271,Facebook,https://www.facebook.com/groups/1079343625776543/permalink/1096611414049764
FOX NEWS with Tucker Carlson,25243,Wed May 06 2020 15:09:34 GMT+0000,253,Facebook,https://www.facebook.com/groups/1250734815048111/permalink/3017295221725386
THE RESISTANCE!,0,Wed May 06 2020 16:31:35 GMT+0000,248,Facebook,https://www.facebook.com/groups/308877963449716/permalink/324227681914744
RE-OPEN Louisiana,2005,Wed May 06 2020 14:54:55 GMT+0000,224,Facebook,https://www.facebook.com/groups/215003869924770/permalink/230879561670534
Friends of Candace Owens,6960,Wed May 06 2020 16:58:23 GMT+0000,194,Facebook,https://www.facebook.com/groups/1178453042284676/permalink/1882073848589255
FOX NEWS ,,,,,
CHANNEL,29326,Wed May 06 2020 21:43:24 GMT+0000,181,Facebook,https://www.facebook.com/groups/279200929284531/permalink/746850029186283
Remove Gov. Northam,7602,Wed May 06 2020 15:09:27 GMT+0000,170,Facebook,https://www.facebook.com/groups/2478287209161599/permalink/2613947262262259
Restore Wisconsin #Restore Wisconsin #Reopen Wisconsin,2435,Wed May 06 2020 15:02:36 GMT+0000,161,Facebook,https://www.facebook.com/groups/223159602090110/permalink/235173734222030
Reopen Pennsylvania,7314,Wed May 06 2020 18:42:01 GMT+0000,148,Facebook,https://www.facebook.com/groups/933845820367893/permalink/952113781874430
#ReOpenCT,762,Wed May 06 2020 14:57:41 GMT+0000,147,Facebook,https://www.facebook.com/groups/1367784460074403/permalink/1385682651617917
Collective Action Against Bill Gates. We Wont Be Vaccinated!!,26113,Wed May 06 2020 16:06:15 GMT+0000,132,Facebook,https://www.facebook.com/groups/698141807656499/permalink/716246985845981
President Trump Will Crush The Deep State,6631,Wed May 06 2020 17:24:03 GMT+0000,128,Facebook,https://www.facebook.com/groups/215312422978962/permalink/270129057497298
Reopen Delaware,1521,Wed May 06 2020 14:55:04 GMT+0000,107,Facebook,https://www.facebook.com/groups/3404395972909281/permalink/3459904567358421
Virginia Women For Trump,6332,Wed May 06 2020 21:21:26 GMT+0000,89,Facebook,https://www.facebook.com/groups/917138978371533/permalink/2994984327253644
Liberal Insanity News  Memes & Screenshots,2637,Wed May 06 2020 14:48:28 GMT+0000,81,Facebook,https://www.facebook.com/groups/485817822282215/permalink/600425027488160
#ReopenKS,1072,Wed May 06 2020 14:58:10 GMT+0000,75,Facebook,https://www.facebook.com/groups/1179043109094316/permalink/1195319037466723
Indiana Citizens,483,Wed May 06 2020 17:02:36 GMT+0000,68,Facebook,https://www.facebook.com/groups/668238823997717/permalink/682682222553377
Americas Voice News,3993,Wed May 06 2020 22:05:49 GMT+0000,68,Facebook,https://www.facebook.com/groups/1076811779195217/permalink/1347158245493901
#ReopenNY,941,Wed May 06 2020 15:00:35 GMT+0000,68,Facebook,https://www.facebook.com/groups/764559537407994/permalink/780348755829072
Koronavírus pánikot csillapítók csoportja,22790,Thu May 07 2020 01:23:50 GMT+0000,61,Facebook,https://www.facebook.com/groups/3079974958688094/permalink/3207070059311916
#ReopenOhio,0,Wed May 06 2020 15:00:24 GMT+0000,59,Facebook,https://www.facebook.com/groups/824146021400622/permalink/839708193177738
Reopen Florida,266,Wed May 06 2020 14:57:04 GMT+0000,56,Facebook,https://www.facebook.com/groups/2276211676015118/permalink/2292157174420568
