Link: https://www.youtube.com/watch?v=IsuCa6V7prg&app=desktop,,,,,
Facebook Interactions,Facebook Reactions,Facebook Shares,Facebook Comments,,
94,19,43,32,,
,,,,,
Source,Followers,Date,Interactions,Post Type,Link
The Ingraham Angle,11540,Wed May 06 2020 01:49:36 GMT+0000,298,Facebook,https://www.facebook.com/groups/474969772888207/permalink/1064488860602959
Battle Against Bayer,35316,Tue May 05 2020 20:05:07 GMT+0000,97,Facebook,https://www.facebook.com/groups/177730185614970/permalink/2919753348079293
Made in USA products,7173,Wed May 06 2020 23:24:24 GMT+0000,87,Facebook,https://www.facebook.com/groups/1846027258988930/permalink/2576819042576411
Vaccine Choice Prayer Community,2405,Thu May 07 2020 01:25:05 GMT+0000,41,Facebook,https://www.facebook.com/groups/1439034716360399/permalink/2863533337243856
Meanwhile  In Montana,5625,Wed May 06 2020 19:38:25 GMT+0000,36,Facebook,https://www.facebook.com/groups/2467608886798636/permalink/3231346213758229
#newmexit,1652,Wed May 06 2020 16:25:22 GMT+0000,32,Facebook,https://www.facebook.com/groups/423861528301895/permalink/537121400309240
Sebastian Angus,4493,Wed May 06 2020 00:46:01 GMT+0000,32,Facebook,https://www.facebook.com/PayattentionUSA/posts/2918834848193761
DEMISIA IOHANNIS,34377,Wed May 06 2020 17:17:00 GMT+0000,31,Facebook,https://www.facebook.com/groups/1442319162487453/permalink/3224199984299353
Secure Texas Borders,5016,Thu May 07 2020 02:35:59 GMT+0000,29,Facebook,https://www.facebook.com/groups/258496227675564/permalink/1541115006080340
Better Life Chiropractic and Wellness,835,Wed May 06 2020 21:08:12 GMT+0000,28,Facebook,https://www.facebook.com/betterlifechiro/posts/3573295316030629
NM 33 COUNTIES UNITE ❤🇺🇸,5435,Wed May 06 2020 12:47:46 GMT+0000,25,Facebook,https://www.facebook.com/groups/2038001679858522/permalink/2690015087990508
Patriots Backing the 50 States,2343,Thu May 07 2020 01:00:10 GMT+0000,21,Facebook,https://www.facebook.com/groups/533387047388045/permalink/644250342968381
ZANDER CASTINGS,1059,Wed May 06 2020 00:09:20 GMT+0000,18,Facebook,https://www.facebook.com/groups/757339397609694/permalink/3277686695574939
Republicans of the Great State of Arizona,6242,Wed May 06 2020 00:12:00 GMT+0000,16,Facebook,https://www.facebook.com/groups/557034710993039/permalink/3592910354072111
Old Skool Guilford,3628,Wed May 06 2020 16:29:20 GMT+0000,16,Facebook,https://www.facebook.com/groups/386967255587012/permalink/554435232173546
Conservative Independent,2102,Wed May 06 2020 02:20:37 GMT+0000,15,Facebook,https://www.facebook.com/257284284306235/posts/3251752534859380
Local Hard Core Republicans,203,Wed May 06 2020 19:08:33 GMT+0000,12,Facebook,https://www.facebook.com/groups/1720308281565923/permalink/2567717303491679
Secure Texas Borders,5016,Thu May 07 2020 02:28:38 GMT+0000,11,Facebook,https://www.facebook.com/groups/258496227675564/permalink/1541111189414055
Science  Technology, and Society Discussion Corner,33302,Wed May 06 2020 16:07:41 GMT+0000,9,https://www.facebook.com/groups/143136595007/permalink/10163585676425008
The Inconvenient Truth,1007,Wed May 06 2020 23:25:43 GMT+0000,9,Facebook,https://www.facebook.com/groups/766251997210830/permalink/901491080353587
The Real Worldwide Truth Movement!,37216,Tue May 05 2020 20:35:27 GMT+0000,5,Facebook,https://www.facebook.com/groups/115702945209925/permalink/2879660075480851
The Cranston Soapbox,2733,Wed May 06 2020 14:51:16 GMT+0000,5,Facebook,https://www.facebook.com/groups/1015045525245636/permalink/2984398164977019
Bulletz & Burnoutz,1922,Wed May 06 2020 23:45:47 GMT+0000,5,Facebook,https://www.facebook.com/groups/308226713392761/permalink/520783915470372
Facebook Fans of Tucker Carlson Tonight,6301,Thu May 07 2020 01:04:05 GMT+0000,4,Facebook,https://www.facebook.com/groups/741228516027312/permalink/1640464389437049
Deplorable And Proud,190,Wed May 06 2020 23:24:09 GMT+0000,4,Facebook,https://www.facebook.com/groups/206805477080119/permalink/236942740733059
SPN (Sarah Palin News),2965,Wed May 06 2020 23:26:45 GMT+0000,4,Facebook,https://www.facebook.com/groups/116967584999397/permalink/3396326417063481
Congresul Mișcării Forța România Alexandru Cumpanasu,1760,Wed May 06 2020 22:40:17 GMT+0000,3,Facebook,https://www.facebook.com/groups/1075158976020637/permalink/1252626501607216
BIGFOOT PATRIOT NETWORK,3934,Wed May 06 2020 23:24:05 GMT+0000,3,Facebook,https://www.facebook.com/groups/265892407631841/permalink/548174259403653
Restore Ohio,10583,Wed May 06 2020 16:55:07 GMT+0000,3,Facebook,https://www.facebook.com/groups/548088436084442/permalink/567181177508501
QAnon -Posts by Q,28824,Wed May 06 2020 23:22:06 GMT+0000,3,Facebook,https://www.facebook.com/groups/601661810329857/permalink/851971388632230
